Epoch,Training Loss,Validation Loss,WER,CER
1,25.73784351348877,17.613974571228027,1.0,0.9293981481481481
2,15.630001068115234,16.876702308654785,1.0,0.9398148148148148
3,14.287169933319092,15.646193027496338,1.0,0.9398148148148148
4,11.944740772247314,5.879130125045776,1.0,1.0
5,5.1468048095703125,5.694123029708862,1.0,1.0
6,5.751217365264893,6.364835500717163,1.0,1.0
7,5.392904281616211,5.563627004623413,1.0,1.0
8,4.5517497062683105,4.653442859649658,1.0,1.0
9,4.1730968952178955,4.30408239364624,1.0,1.0
10,4.04787802696228,4.053033828735352,1.0,1.0
