,question,answer
0,ᠭᠠᠷ ᠤᠲᠠᠰᠤ ᠴᠢᠨᠢ ᠰᠦᠢᠷᠡᠴᠢᠬᠡᠪᠡ ᠦᠦ ︖,ᠡᠨᠡ ᠭᠠᠷ ᠤᠲᠠᠰᠤ ᠠᠮᠠᠷᠬᠠᠨ ᠰᠦᠢᠷᠡᠨ᠎ᠡ ᠃ 
1,ᠪᠢᠳᠡ ᠶᠠᠭᠤᠨ ᠤ ᠤᠴᠢᠷ ᠠᠴᠠ ᠠᠮᠢᠳᠤᠷᠠᠵᠤ ᠪᠠᠢᠬᠤ ᠪᠤᠶ ?,ᠠᠮᠢᠳᠤᠷᠠᠯ ᠪᠤᠯ ᠵᠢᠷᠠᠭᠠᠯ ᠃
2,ᠪᠦᠯᠦ ᠠᠬ᠎ᠠ ᠱᠧᠨᠶᠠᠩ ᠳᠤ ᠪᠠᠢ᠌ᠭᠰᠠᠭᠠᠷ ᠤᠤ?,ᠲᠡᠢᠮᠦ ᠡ᠂ᠦᠷᠬᠦᠯᠵᠢ ᠡᠨᠳᠡ ᠪᠠᠢᠳᠠᠭ᠃
3,ᠴᠢ ᠬᠠᠷᠢᠵᠤ ᠢᠷᠡᠬᠦ ᠭᠡᠵᠤ ᠪᠠᠢᠨ᠎ᠠ ᠦᠦ?,ᠲᠡᠶᠢᠮᠦ᠃ ᠬᠠᠷᠢᠵᠤ ᠢᠷᠡᠭᠡᠳ ᠬᠡᠳᠦᠨ ᠡᠳᠦᠷ ᠰᠠᠭᠤᠬᠤ ᠭᠡᠵᠦ ᠪᠠᠢᠨ᠎ᠠ!
4,ᠲᠠᠨ ᠤ ᠳᠡᠯᠭᠡᠭᠦᠷ ᠲᠦ ᠲᠤᠰᠬᠠᠶᠢᠯᠠᠨ ᠥᠨᠳᠡᠭᠡ ᠲᠡᠶ ᠪᠣᠭᠣᠷᠰᠣᠭ ᠬᠢᠳᠡᠭ ᠦᠦ?,ᠪᠢᠳᠡ ᠭᠠᠭᠴᠠ ᠥᠨᠳᠡᠭᠡᠨ ᠪᠣᠭᠣᠷᠰᠣᠭ ᠬᠤᠳᠠᠯᠳᠤᠳᠠᠭ ᠂ ᠠᠮᠲᠠᠯᠠᠵᠤ ᠦᠵᠡ !
5,ᠪᠣᠷᠣᠭ᠎ᠠ ᠵᠣᠭᠰᠣᠴᠢᠬᠠᠪᠠ ᠤᠤ ? ᠬᠠᠷᠢᠬᠤ ᠥᠬᠡᠶ ᠦᠦ︖,ᠪᠤᠷᠤᠭᠠᠨ ᠵᠤᠭᠰᠤᠭᠠᠳ ᠨᠡᠯᠢᠶᠡᠳ ᠤᠳᠠᠴᠢᠬᠠᠭᠰᠠᠨ᠃
6,ᠠᠬ᠎ᠠ ᠠ ᠂ ᠲᠠ ᠪᠠᠰᠠ ᠵᠠᠮ ᠳᠠᠭᠠᠨ ᠪᠠᠶᠢᠭᠰᠠᠭᠠᠷ ᠤᠤ ?,ᠲᠠᠢᠮᠤ᠂ ᠵᠠᠮ ᠳᠡᠭᠡᠷ᠎ᠡ ᠪᠡᠨ ᠪᠠᠢᠨ᠎ᠠ᠂ ᠤᠳᠠᠬᠤ ᠦᠭᠡᠢ ᠬᠦᠷᠦᠨ᠎ᠡ
7,ᠶᠠᠰᠤᠨ ᠤ ᠬᠠᠳᠠᠭᠠᠰᠤ ᠶᠢ ᠴᠣᠬᠢᠬᠤ ᠳᠤ ᠶᠡᠬᠡ ᠡᠪᠡᠳᠦᠨ᠎ᠡ ᠦᠦ ?,ᠦᠭᠡᠢ᠂ ᠦᠨᠳᠦᠰᠦᠨ ᠳᠡᠭᠡᠨ ᠮᠡᠰᠡ ᠵᠠᠰᠠᠯ ᠤᠨ ᠳᠠᠷᠠᠭᠠᠬᠢ ᠲᠤᠰᠬᠠᠯ ᠪᠠᠶᠢᠬᠤ ᠦᠭᠡᠢ᠃
8,ᠱᠠᠩᠨᠠᠯ ᠤᠨ ᠮᠥᠩᠭᠥ ᠦᠭᠭᠦᠨ᠎ᠠ ᠦᠦ ?,ᠦᠭᠭᠦᠵᠤ ᠲᠡᠢᠯᠡᠬᠦ ᠦᠭᠡᠢ᠂ ᠪᠢᠳᠡᠨ ᠶᠠᠳᠠᠭᠤ ᠪᠠᠶᠢᠨ᠎ᠠ᠃
9,ᠦᠨᠡᠬᠡᠷ ᠬᠥᠮᠦᠨ ᠴᠢᠮ᠎ᠠ ᠳᠤ ᠢᠩᠭ᠍ᠢᠵᠦ ᠶᠠᠪᠤᠭᠤᠯᠪᠠᠯ ᠂ ᠴᠢ ᠶᠠᠮᠠᠷ ᠲᠤᠰᠬᠠᠯ ᠲᠠᠶ ᠪᠣᠯᠬᠤ ᠪᠤᠶ ?,ᠪᠠᠶᠠᠷᠯᠠᠨ᠎ᠠ᠂ ᠳᠠᠷᠠᠭ᠎ᠠ ᠨᠢ ᠲᠡᠷᠡ ᠪᠤᠷᠤᠭᠤ ᠬᠥᠮᠦᠨ ᠶᠠᠪᠤᠭᠤᠯᠤᠭᠰᠠᠨ ᠡᠰᠡᠬᠦ ᠶᠢ ᠰᠡᠵᠢᠭᠯᠡᠨ᠎ᠡ᠃
10,ᠴᠢ ᠭᠤᠤᠠᠩᠵᠧᠦ ᠳᠦ ᠦᠯᠡᠳᠡᠬᠦ ᠭᠡᠵᠦ ᠪᠠᠢᠨ᠎ᠠ ᠤᠤ ?,ᠭᠡᠨᠡᠳᠲᠡ ᠡᠶᠢᠮᠦ ᠪᠣᠳᠣᠯ ᠲᠠᠶ ᠪᠣᠯᠤᠭᠰᠠᠨ ᠲᠡᠳᠦᠢ᠃
11,ᠲᠠ ᠬᠤᠷᠢᠮ ᠬᠢᠨ᠎ᠡ ᠦᠦ?,ᠲᠦᠯᠦᠪᠯᠡᠵᠤ  ᠪᠠᠢᠨ᠎ᠠ᠃
12,ᠥᠨᠥᠳᠦᠷ ᠪᠡᠭᠡᠵᠢᠩ ᠳᠦ ᠪᠣᠬᠢᠷ ᠮᠠᠨᠠᠨ ᠥᠬᠡᠶ ᠦᠦ ︖,ᠲᠩᠷᠢ ᠮᠠᠰᠢ ᠰᠠᠶᠢᠨ ᠪᠠᠢᠨ᠎ᠠ᠃
